"value","statistic","variable","country","total_asked","who_was_asked"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",3,"h12020_hhd_hlp_typ_text","IN",1299,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",2,"h12020_hhd_hlp_typ_text","IN",1299,"Owners/Managers of SMB Businesses"
"Grants from the government",6,"h12020_hhd_hlp_typ_text","IN",1299,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",3,"h12020_hhd_hlp_typ_text","IN",1299,"Owners/Managers of SMB Businesses"
"Other (please specify)",3,"h12020_hhd_hlp_typ_text","IN",1299,"Owners/Managers of SMB Businesses"
"Unemployment benefits",4,"h12020_hhd_hlp_typ_text","IN",1299,"Owners/Managers of SMB Businesses"
NA,1260,"h12020_hhd_hlp_typ_text","IN",1299,"Owners/Managers of SMB Businesses"
"Crowd-sourced capital",4,"h12020_hhd_hlp_typ_text","IQ",296,"Owners/Managers of SMB Businesses"
"Funding from family and friends",1,"h12020_hhd_hlp_typ_text","IQ",296,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","IQ",296,"Owners/Managers of SMB Businesses"
"Grants from the government",3,"h12020_hhd_hlp_typ_text","IQ",296,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",3,"h12020_hhd_hlp_typ_text","IQ",296,"Owners/Managers of SMB Businesses"
NA,284,"h12020_hhd_hlp_typ_text","IQ",296,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",20,"h12020_hhd_hlp_typ_text","IT",859,"Owners/Managers of SMB Businesses"
"Funding from family and friends",18,"h12020_hhd_hlp_typ_text","IT",859,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",15,"h12020_hhd_hlp_typ_text","IT",859,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",2,"h12020_hhd_hlp_typ_text","IT",859,"Owners/Managers of SMB Businesses"
"Grants from the government",74,"h12020_hhd_hlp_typ_text","IT",859,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",11,"h12020_hhd_hlp_typ_text","IT",859,"Owners/Managers of SMB Businesses"
"Other (please specify)",10,"h12020_hhd_hlp_typ_text","IT",859,"Owners/Managers of SMB Businesses"
"Unemployment benefits",7,"h12020_hhd_hlp_typ_text","IT",859,"Owners/Managers of SMB Businesses"
NA,702,"h12020_hhd_hlp_typ_text","IT",859,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",28,"h12020_hhd_hlp_typ_text","JP",675,"Owners/Managers of SMB Businesses"
"Crowd-sourced capital",1,"h12020_hhd_hlp_typ_text","JP",675,"Owners/Managers of SMB Businesses"
"Funding from family and friends",11,"h12020_hhd_hlp_typ_text","JP",675,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",32,"h12020_hhd_hlp_typ_text","JP",675,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",3,"h12020_hhd_hlp_typ_text","JP",675,"Owners/Managers of SMB Businesses"
"Grants from the government",131,"h12020_hhd_hlp_typ_text","JP",675,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",9,"h12020_hhd_hlp_typ_text","JP",675,"Owners/Managers of SMB Businesses"
