value,statistic,variable,country,total_asked,who_was_asked
No,103,bus_cdt_text,LB,152,Owners/Managers of SMB Businesses
Yes,26,bus_cdt_text,LB,152,Owners/Managers of SMB Businesses
NA,8,bus_cdt_text,LB,152,Owners/Managers of SMB Businesses
I'm not sure,9,bus_cdt_text,LT,79,Owners/Managers of SMB Businesses
No,55,bus_cdt_text,LT,79,Owners/Managers of SMB Businesses
Yes,15,bus_cdt_text,LT,79,Owners/Managers of SMB Businesses
I'm not sure,26,bus_cdt_text,LY,180,Owners/Managers of SMB Businesses
No,137,bus_cdt_text,LY,180,Owners/Managers of SMB Businesses
Yes,12,bus_cdt_text,LY,180,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,LY,180,Owners/Managers of SMB Businesses
I'm not sure,23,bus_cdt_text,MA,193,Owners/Managers of SMB Businesses
No,133,bus_cdt_text,MA,193,Owners/Managers of SMB Businesses
Yes,32,bus_cdt_text,MA,193,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,MA,193,Owners/Managers of SMB Businesses
I'm not sure,3,bus_cdt_text,MK,62,Owners/Managers of SMB Businesses
No,40,bus_cdt_text,MK,62,Owners/Managers of SMB Businesses
Yes,17,bus_cdt_text,MK,62,Owners/Managers of SMB Businesses
NA,2,bus_cdt_text,MK,62,Owners/Managers of SMB Businesses
I'm not sure,37,bus_cdt_text,MM,190,Owners/Managers of SMB Businesses
No,106,bus_cdt_text,MM,190,Owners/Managers of SMB Businesses
Yes,42,bus_cdt_text,MM,190,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,MM,190,Owners/Managers of SMB Businesses
I'm not sure,12,bus_cdt_text,MX,211,Owners/Managers of SMB Businesses
No,159,bus_cdt_text,MX,211,Owners/Managers of SMB Businesses
Yes,35,bus_cdt_text,MX,211,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,MX,211,Owners/Managers of SMB Businesses
I'm not sure,21,bus_cdt_text,MY,200,Owners/Managers of SMB Businesses
No,142,bus_cdt_text,MY,200,Owners/Managers of SMB Businesses
Yes,31,bus_cdt_text,MY,200,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,MY,200,Owners/Managers of SMB Businesses
I'm not sure,1,bus_cdt_text,MZ,39,Owners/Managers of SMB Businesses
No,35,bus_cdt_text,MZ,39,Owners/Managers of SMB Businesses
Yes,3,bus_cdt_text,MZ,39,Owners/Managers of SMB Businesses
I'm not sure,52,bus_cdt_text,NG,502,Owners/Managers of SMB Businesses
No,354,bus_cdt_text,NG,502,Owners/Managers of SMB Businesses
Yes,77,bus_cdt_text,NG,502,Owners/Managers of SMB Businesses
NA,19,bus_cdt_text,NG,502,Owners/Managers of SMB Businesses
I'm not sure,6,bus_cdt_text,NI,139,Owners/Managers of SMB Businesses
No,101,bus_cdt_text,NI,139,Owners/Managers of SMB Businesses
Yes,29,bus_cdt_text,NI,139,Owners/Managers of SMB Businesses
NA,3,bus_cdt_text,NI,139,Owners/Managers of SMB Businesses
I'm not sure,2,bus_cdt_text,NL,227,Owners/Managers of SMB Businesses
No,169,bus_cdt_text,NL,227,Owners/Managers of SMB Businesses
Yes,45,bus_cdt_text,NL,227,Owners/Managers of SMB Businesses
NA,11,bus_cdt_text,NL,227,Owners/Managers of SMB Businesses
I'm not sure,7,bus_cdt_text,NO,167,Owners/Managers of SMB Businesses
No,107,bus_cdt_text,NO,167,Owners/Managers of SMB Businesses
Yes,46,bus_cdt_text,NO,167,Owners/Managers of SMB Businesses
NA,7,bus_cdt_text,NO,167,Owners/Managers of SMB Businesses
I'm not sure,32,bus_cdt_text,NP,173,Owners/Managers of SMB Businesses
No,68,bus_cdt_text,NP,173,Owners/Managers of SMB Businesses
Yes,67,bus_cdt_text,NP,173,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,NP,173,Owners/Managers of SMB Businesses
I'm not sure,9,bus_cdt_text,NZ,185,Owners/Managers of SMB Businesses
No,113,bus_cdt_text,NZ,185,Owners/Managers of SMB Businesses
Yes,58,bus_cdt_text,NZ,185,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,NZ,185,Owners/Managers of SMB Businesses
I'm not sure,7,bus_cdt_text,OM,41,Owners/Managers of SMB Businesses
No,21,bus_cdt_text,OM,41,Owners/Managers of SMB Businesses
Yes,8,bus_cdt_text,OM,41,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,OM,41,Owners/Managers of SMB Businesses
I'm not sure,8,bus_cdt_text,PA,100,Owners/Managers of SMB Businesses
No,73,bus_cdt_text,PA,100,Owners/Managers of SMB Businesses
Yes,16,bus_cdt_text,PA,100,Owners/Managers of SMB Businesses
NA,3,bus_cdt_text,PA,100,Owners/Managers of SMB Businesses
I'm not sure,13,bus_cdt_text,PE,214,Owners/Managers of SMB Businesses
No,148,bus_cdt_text,PE,214,Owners/Managers of SMB Businesses
Yes,46,bus_cdt_text,PE,214,Owners/Managers of SMB Businesses
NA,7,bus_cdt_text,PE,214,Owners/Managers of SMB Businesses
I'm not sure,18,bus_cdt_text,PH,175,Owners/Managers of SMB Businesses
No,118,bus_cdt_text,PH,175,Owners/Managers of SMB Businesses
Yes,34,bus_cdt_text,PH,175,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,PH,175,Owners/Managers of SMB Businesses
I'm not sure,36,bus_cdt_text,PK,215,Owners/Managers of SMB Businesses
No,145,bus_cdt_text,PK,215,Owners/Managers of SMB Businesses
Yes,28,bus_cdt_text,PK,215,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,PK,215,Owners/Managers of SMB Businesses
I'm not sure,4,bus_cdt_text,PL,184,Owners/Managers of SMB Businesses
No,131,bus_cdt_text,PL,184,Owners/Managers of SMB Businesses
Yes,42,bus_cdt_text,PL,184,Owners/Managers of SMB Businesses
NA,7,bus_cdt_text,PL,184,Owners/Managers of SMB Businesses
I'm not sure,7,bus_cdt_text,PT,162,Owners/Managers of SMB Businesses
No,113,bus_cdt_text,PT,162,Owners/Managers of SMB Businesses
Yes,36,bus_cdt_text,PT,162,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,PT,162,Owners/Managers of SMB Businesses
I'm not sure,24,bus_cdt_text,PY,218,Owners/Managers of SMB Businesses
No,118,bus_cdt_text,PY,218,Owners/Managers of SMB Businesses
Yes,70,bus_cdt_text,PY,218,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,PY,218,Owners/Managers of SMB Businesses
I'm not sure,9,bus_cdt_text,QA,53,Owners/Managers of SMB Businesses
No,34,bus_cdt_text,QA,53,Owners/Managers of SMB Businesses
Yes,10,bus_cdt_text,QA,53,Owners/Managers of SMB Businesses
I'm not sure,6,bus_cdt_text,RO,222,Owners/Managers of SMB Businesses
No,172,bus_cdt_text,RO,222,Owners/Managers of SMB Businesses
Yes,39,bus_cdt_text,RO,222,Owners/Managers of SMB Businesses
NA,5,bus_cdt_text,RO,222,Owners/Managers of SMB Businesses
I'm not sure,7,bus_cdt_text,RS,139,Owners/Managers of SMB Businesses
No,97,bus_cdt_text,RS,139,Owners/Managers of SMB Businesses
Yes,29,bus_cdt_text,RS,139,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,RS,139,Owners/Managers of SMB Businesses
I'm not sure,11,bus_cdt_text,RU,233,Owners/Managers of SMB Businesses
No,176,bus_cdt_text,RU,233,Owners/Managers of SMB Businesses
Yes,36,bus_cdt_text,RU,233,Owners/Managers of SMB Businesses
NA,10,bus_cdt_text,RU,233,Owners/Managers of SMB Businesses
I'm not sure,38,bus_cdt_text,SA,192,Owners/Managers of SMB Businesses
